Counter,In_time,Elapsed_time
0,2023-04-23 00:09:00,89
1,2023-04-23 00:11:00,4
2,2023-04-23 00:13:00,104
3,2023-04-23 00:15:00,50
4,2023-04-23 00:17:00,30
5,2023-04-23 00:19:00,79
6,2023-04-23 00:21:00,42
7,2023-04-23 00:23:00,36
8,2023-04-23 00:25:00,32
9,2023-04-23 00:27:00,84
10,2023-04-23 00:29:00,32
11,2023-04-23 00:31:00,30
12,2023-04-23 00:33:00,58
13,2023-04-23 00:35:00,63
14,2023-04-23 00:37:00,24
15,2023-04-23 00:39:00,79
16,2023-04-23 00:41:00,57
17,2023-04-23 00:43:00,50
18,2023-04-23 00:45:00,95
19,2023-04-23 00:47:00,76
20,2023-04-23 00:49:00,30
20,2023-04-23 00:09:00,51
20,2023-04-23 00:14:00,45
21,2023-04-23 00:19:00,69
22,2023-04-23 00:24:00,39
23,2023-04-23 00:29:00,23
24,2023-04-23 00:34:00,27
25,2023-04-23 00:39:00,29
26,2023-04-23 00:44:00,29
27,2023-04-23 00:49:00,69
