Counter,In_time,Elapsed_time
0,2023-04-23 00:09:00,28
1,2023-04-23 00:11:00,13
2,2023-04-23 00:13:00,24
3,2023-04-23 00:15:00,8
4,2023-04-23 00:17:00,23
5,2023-04-23 00:19:00,18
6,2023-04-23 00:21:00,27
7,2023-04-23 00:23:00,14
8,2023-04-23 00:25:00,20
9,2023-04-23 00:27:00,22
10,2023-04-23 00:29:00,25
11,2023-04-23 00:31:00,21
12,2023-04-23 00:33:00,17
13,2023-04-23 00:35:00,7
14,2023-04-23 00:37:00,21
15,2023-04-23 00:39:00,25
16,2023-04-23 00:41:00,19
17,2023-04-23 00:43:00,20
18,2023-04-23 00:45:00,24
19,2023-04-23 00:47:00,14
20,2023-04-23 00:49:00,21
20,2023-04-23 00:09:00,19
20,2023-04-23 00:14:00,22
21,2023-04-23 00:19:00,24
22,2023-04-23 00:24:00,33
23,2023-04-23 00:29:00,27
24,2023-04-23 00:34:00,21
25,2023-04-23 00:39:00,20
26,2023-04-23 00:44:00,29
27,2023-04-23 00:49:00,28
