Counter,In_time,Elapsed_time
0,2023-05-05 00:09:00,84
1,2023-05-05 00:11:00,33
2,2023-05-05 00:13:00,57
3,2023-05-05 00:15:00,49
4,2023-05-05 00:17:00,37
5,2023-05-05 00:19:00,70
6,2023-05-05 00:21:00,36
7,2023-05-05 00:23:00,74
8,2023-05-05 00:25:00,31
9,2023-05-05 00:27:00,33
10,2023-05-05 00:29:00,72
11,2023-05-05 00:31:00,77
12,2023-05-05 00:33:00,66
13,2023-05-05 00:35:00,14
14,2023-05-05 00:37:00,25
15,2023-05-05 00:39:00,47
16,2023-05-05 00:41:00,98
17,2023-05-05 00:43:00,26
18,2023-05-05 00:45:00,48
19,2023-05-05 00:47:00,89
20,2023-05-05 00:49:00,90
20,2023-05-05 00:09:00,46
20,2023-05-05 00:14:00,41
21,2023-05-05 00:19:00,55
22,2023-05-05 00:24:00,53
23,2023-05-05 00:29:00,74
24,2023-05-05 00:34:00,38
25,2023-05-05 00:39:00,45
26,2023-05-05 00:44:00,41
27,2023-05-05 00:49:00,44
